Date : 2022-07-31 12:14:35
Directory : c:\Users\pc\Videos\FDYBoT_new
Total : 58 files,  4870 codes, 303 comments, 165 blanks, all 5338 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         18 |      2,090 |         63 |         15 |      2,168 |
| JavaScript         |         21 |      1,832 |        125 |         24 |      1,981 |
| TypeScript         |         15 |        867 |         21 |         90 |        978 |
| Markdown           |          1 |         53 |          0 |         27 |         80 |
| JSON with Comments |          2 |         25 |         94 |          9 |        128 |
| Ignore             |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |         58 |      4,870 |        303 |        165 |      5,338 |
| dist                                                            |         26 |      1,388 |        114 |          7 |      1,509 |
| dist\assets                                                     |          4 |         51 |          0 |          4 |         55 |
| dist\assets\lang                                                |          3 |         43 |          0 |          3 |         46 |
| dist\core                                                       |          7 |        271 |          7 |          0 |        278 |
| dist\core\structure                                             |          3 |         32 |          3 |          0 |         35 |
| dist\plugins                                                    |          6 |        774 |         29 |          3 |        806 |
| dist\plugins\basic                                              |          2 |        291 |         15 |          1 |        307 |
| dist\plugins\basic\src                                          |          1 |        283 |         15 |          0 |        298 |
| dist\plugins\economy                                            |          2 |         65 |          4 |          1 |         70 |
| dist\plugins\economy\src                                        |          1 |         61 |          4 |          0 |         65 |
| dist\plugins\fun                                                |          2 |        418 |         10 |          1 |        429 |
| dist\plugins\fun\src                                            |          1 |        411 |         10 |          0 |        421 |
| dist\services                                                   |          7 |        213 |         40 |          0 |        253 |
| src                                                             |         25 |      1,460 |         65 |        120 |      1,645 |
| src\assets                                                      |          4 |         51 |          0 |          3 |         54 |
| src\assets\lang                                                 |          3 |         43 |          0 |          2 |         45 |
| src\core                                                        |          6 |        273 |          0 |         36 |        309 |
| src\core\structure                                              |          2 |         52 |          0 |          6 |         58 |
| src\plugins                                                     |          6 |        858 |         26 |         38 |        922 |
| src\plugins\basic                                               |          2 |        350 |         14 |         14 |        378 |
| src\plugins\basic\src                                           |          1 |        342 |         14 |         13 |        369 |
| src\plugins\economy                                             |          2 |         61 |          3 |          9 |         73 |
| src\plugins\economy\src                                         |          1 |         57 |          3 |          8 |         68 |
| src\plugins\fun                                                 |          2 |        447 |          9 |         15 |        471 |
| src\plugins\fun\src                                             |          1 |        440 |          9 |         14 |        463 |
| src\services                                                    |          7 |        184 |         35 |         25 |        244 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                        | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\pc\Videos\FDYBoT_new\.eslintrc.json                    | JSON with Comments |          6 |         19 |          0 |         25 |
| c:\Users\pc\Videos\FDYBoT_new\.prettierignore                   | Ignore             |          3 |          0 |          0 |          3 |
| c:\Users\pc\Videos\FDYBoT_new\.prettierrc.json                  | JSON               |          6 |          0 |          1 |          7 |
| c:\Users\pc\Videos\FDYBoT_new\README.md                         | Markdown           |         53 |          0 |         27 |         80 |
| c:\Users\pc\Videos\FDYBoT_new\dist\assets\bars.json             | JSON               |          8 |          0 |          1 |          9 |
| c:\Users\pc\Videos\FDYBoT_new\dist\assets\lang\en.json          | JSON               |         15 |          0 |          1 |         16 |
| c:\Users\pc\Videos\FDYBoT_new\dist\assets\lang\zh_cn.json       | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\pc\Videos\FDYBoT_new\dist\assets\lang\zh_tw.json       | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\CommandHandler.js       | JavaScript         |         55 |          1 |          0 |         56 |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\CommandManager.js       | JavaScript         |         39 |          1 |          0 |         40 |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\Database.js             | JavaScript         |         56 |          1 |          0 |         57 |
| c:\Users\pc\Videos\FDYBoT_new\dist\core\PluginLoader.js         | JavaScript         |         89 |          1 |          0 |         90 |
